GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.spayker.account.service,AccountServiceImpl,0,103,0,0,0,20,0,4,0,4
account-service,com.spayker.account.domain,User,0,17,0,0,0,7,0,5,0,5
account-service,com.spayker.account.domain,Account,0,24,0,0,0,10,0,7,0,7
account-service,com.spayker.account.service.security,CustomUserInfoTokenServices,230,54,14,0,43,8,16,2,9,2
account-service,com.spayker.account.config,ResourceServerConfig,0,55,0,0,0,11,0,6,0,6
account-service,com.spayker.account,AccountApplication,5,3,0,0,2,1,1,1,1,1
account-service,com.spayker.account.controller,AccountController,0,26,0,0,0,6,0,5,0,5
account-service,com.spayker.account.controller,ErrorHandler,6,8,0,0,2,2,1,1,1,1
